ponto;localizacao;data_instalacao;cota_terreno;latitude;longitude;latitude_decimal;longitude_decimal;utme;utmn;bacia;municipio;natureza;nome;subbacia;situacao;uf;uso_agua;data_perfuracao;metodo_perfuracao;perfurador;diametro_boca_tubo_milimetros;topo;base;tipo_penetracao;condicao;tipo_captacao;data_medicao;nivel_agua;vazao;nivel_bombeando;profundidade_inicial;profundidade_final;tipo_formacao;data_teste;tipo_teste_bombeamento;metodo_interpretacao;surgencia;unidade_de_bombeamento;nivel_dinamico;nivel_estatico;vazao_especifica;coeficiente_armazenamento;vazao_livre;permeabilidade;transmissividade;vazao_estabilizacao;tipo_bomba;data_analise;data_coleta;condutividade_eletrica;cor;odor;sabor;temperatura;turbidez;solidos_sedimentaveis;solidos_suspensos;aspecto_natural
"4300022738";VILA STA BARBARA;;;"302413";"533129";"-30,403611";"-53,524722";"257449";"6633773";Atlantico Sul-Sudeste;Cacapava do sul;Poço tubular;;Rio Jacui;;RS;;1984-02-28;;SECRETARIA DA AGRICULTURA - DIMEC;"152,4000";"0,00";"60,00";Total;Confinado;Simultânea;;;;;"0,00";"60,00";Complexo granito-gnaissico;1984-02-28;Rebaixamento;;N;Cacamba;"55,00";"6,00";"0,051";;;;;"2,5";;;;;;;;;;;;
"4300022739";BR-392;;;"302929";"532837";"-30,491389";"-53,476944";"262254";"6624142";Atlantico Sul-Sudeste;Cacapava do sul;Poço tubular;;Rio Jacui;;RS;;1984-09-30;;SECRETARIA DA AGRICULTURA - DIMEC;"152,4000";"0,00";"91,00";Total;Confinado;Simultânea;;;;;"0,00";"91,00";Complexo granito-gnaissico;1984-09-30;Rebaixamento;;N;Cacamba;"90,00";"1,00";"0,009";;;;;"0,8";;;;;;;;;;;;
"4300022740";FAXINAL-QUARTO DISTRITO;1983-01-16;;"302045";"532611";"-30,345833";"-53,436389";"265799";"6640365";Atlantico Sul-Sudeste;Cacapava do sul;Poço tubular;;Rio Jacui;;RS;Abastecimento múltiplo;1983-01-15;;SECRETARIA DA AGRICULTURA - DIMEC;"152,4000";"0,00";"50,00";Parcial;Livre;Única;;;;;"0,00";"50,00";;1983-01-15;Rebaixamento;;N;Cacamba;"48,00";"45,00";"0,133";;;;;"0,4";;;;;;;;;;;;
"4300023324";DURASNAL;;"165,00";"302029";"531728";"-30,341389";"-53,291111";"279768";"6641133";Atlantico Sul-Sudeste;Cacapava do sul;Poço tubular;;Rio Jacui;;RS;;2005-10-28;;CORSAN;"114,3000";"0,00";"58,00";Parcial;Livre;Única;;;;;"0,00";"58,00";Formacao Rio Bonito;2005-11-08;Rebaixamento;;N;Bomba submersa;"38,35";"36,66";"1,988";;;;;"3,36";Bomba submersa;2005-12-13;2005-11-10;;"2,00";TERROSO 2;;"20,9";"0";;;
"4300023794";VILA PEREIRINHA;;"416,00";"303359";"533056";"-30,566389";"-53,515556";"258729";"6615753";Atlantico Sul-Sudeste;Cacapava do sul;Poço tubular;5221/VPK-1;Rio Jacui;Seco;RS;;2004-04-29;Rotopneumatico;CORSAN;"165,1000";"0,00";"192,00";Total;Confinado;Simultânea;;;;;"0,00";"192,00";Complexo granito-gnaissico;;;;;;;;;;;;;;;;;;;;;;;;;
"4300023795";RINCAO DOS SEIXAS;;;"303250";"532629";"-30,547222";"-53,441389";"265808";"6618036";Atlantico Sul-Sudeste;Cacapava do sul;Poço tubular;4719/RSX-1;Rio Jacui;Seco;RS;;2002-07-28;Rotopneumatico;CORSAN;"165,1000";"0,00";"50,00";Total;Confinado;Simultânea;;;;;"0,00";"50,00";Complexo granito-gnaissico;;;;;;;;;;;;;;;;;;;;;;;;;
"4300023796";RINCAO DOS SEIXAS;;;"303307";"532628";"-30,551944";"-53,441111";"265838";"6617511";Atlantico Sul-Sudeste;Cacapava do sul;Poço tubular;4738/RSX-2;Rio Jacui;Seco;RS;;2002-08-09;Rotopneumatico;CORSAN;"165,1000";"0,00";"230,00";Total;Confinado;Simultânea;;;;;"0,00";"230,00";Complexo granito-gnaissico;;;;;;;;;;;;;;;;;;;;;;;;;
"4300023803";COXILHA SAO JOSE;;;"303553";"533113";"-30,598056";"-53,520278";"258368";"6612214";Atlantico Sul-Sudeste;Cacapava do sul;Poço tubular;4715/CXJ-1;Rio Jacui;Seco;RS;;2002-07-25;Rotopneumatico;CORSAN;"165,1000";"0,00";"264,00";Total;Confinado;Simultânea;;;;;"0,00";"264,00";Complexo granito-gnaissico;;;;;;;;;;;;;;;;;;;;;;;;;
"4300023875";VARZINHA;;"260,00";"304623";"531750";"-30,773056";"-53,297222";"280158";"6593266";Atlantico Sul-Sudeste;Cacapava do sul;;5407/VRZ1;Lagoa dos Patos;;RS;;2005-11-01;;SOPS - CORSAN;"165,1000";;;;;;;;;;"0,00";"150,00";;2005-12-19;Rebaixamento;;N;Bomba submersa;"32,75";"3,71";"0,063";;;;;"1,843";Bomba submersa;2005-11-14;2005-11-11;;"8,00";TERROSO 2;;"20,7";"3";;;
"4300023876";VAI MIRIM;;"175,00";"303224";"532525";"-30,540000";"-53,423611";"267491";"6618859";;Cacapava do sul;;5212/LVH1;;;RS;;2004-09-23;;SOPS - CORSAN;"165,1000";;;;;;;;;;"0,00";"84,00";;2004-10-28;Rebaixamento;;N;Bomba submersa;"7,18";"1,03";"3,792";;;;;"23,32";Bomba submersa;2004-11-03;2004-10-29;"450,00";"20,00";INODORO;;"20,7";"8,4";;;
"4300024105";CAIEIRAS;;"157,00";"303307";"532442";"-30,551944";"-53,411667";"268672";"6617567";Atlantico Sul-Sudeste;Cacapava do sul;Poço tubular;5214/CIB-1A;Rio Jacui;Abandonado;RS;;2004-04-23;;CORSAN;"165,1000";"0,00";"198,00";Total;Confinado;Simultânea;;;;;"0,00";"198,00";Complexo granito-gnaissico;;;;;;;;;;;;;;;;;;;;;;;;;
